Genotype,Yield - 2021 LA1,Plant Height - 2021 LA1,Yield - 2021 LA2,Plant Height - 2021 LA2,Yield - 2022 LA1,Plant Height - 2022 LA1,Yield - 2022 LA2,Plant Height - 2022 LA2,Yield - 2021 AR,Plant Height - 2021 AR,Yield - 2022 AR,Plant Height - 2022 AR,Mean Yield - Across LA & AR,Mean Plant Height - Across LA & AR
CPRS_MP,9038.313717,100.224704,7417.292523,107.2663199,7902.670936,99.32054538,7598.818453,89.66115618,9002.747334,102.6668952,7560.746466,105.4753747,8119.264032,100.8971178
CL111_MP,8383.157453,97.42942741,7950.559165,101.5508116,10055.14301,102.9809197,8886.497296,94.55362618,10040.95872,101.4707018,9202.814858,108.6923467,9119.024507,101.2837472
CL153_MP,10037.24685,99.13263782,8768.118825,104.678046,10219.0334,96.95352979,9238.880469,94.48750349,10343.25424,102.6334351,8924.240723,103.5084091,9620.967965,100.3209158
CTHL_MP,8643.395843,103.4636031,8153.479019,109.0012756,9794.64251,100.0616249,8563.318303,96.04444953,8991.8063,101.6766144,9388.215059,112.2006861,8954.980379,103.8675927
CL172_MP,9516.833579,98.43982413,7238.694287,103.8362232,8983.000162,92.88286742,8693.316567,89.54960566,10821.48806,99.08429852,8893.85347,103.7319312,9057.037015,98.03249774
PSDO_MP,7265.538991,100.4480054,8172.764976,101.3060503,7636.313889,98.80234022,7230.839615,91.75298261,8632.12086,98.58144128,6889.275471,100.308174,7670.311223,98.68423776
LKST_MP,9637.188688,108.1535076,9961.707196,115.8500415,9542.03713,106.8372203,7505.638331,96.85461186,10687.9632,114.8282467,10048.69863,116.4139746,9596.382341,109.9751164
ROYJ_MP,9547.833355,106.0083545,8278.046763,115.101892,8161.42353,104.2702197,6643.347515,100.6350342,10918.7396,111.2840705,7456.709721,113.5183831,8533.518737,108.6440036
MP8_168,7967.304323,87.30844472,7204.177412,99.60408475,7175.564345,94.04362885,6847.342192,83.50849493,8975.998625,97.6347854,6305.31986,96.60071173,7445.126683,93.19764761
MP8_077,7573.549768,97.7257205,5815.295387,106.8920673,,,,,7588.005204,99.44447718,,,6788.61424,100.497629
MP6_042,8916.674791,88.74586903,8503.594557,90.46549233,9311.605473,90.33261493,8375.283096,82.27633581,10118.78199,85.9322209,9520.824968,87.77910898,9156.961563,87.70463138
MP8_362,9576.400704,93.29433806,8724.675209,100.7507335,9109.847046,95.81437644,8045.38388,91.3569293,10480.5856,92.91384247,9297.79308,99.20577565,9238.291161,95.7701923
MP6_008,8752.48781,95.34353442,7104.921933,92.57246465,,,,,,,,,7961.211097,94.09469698
MP6_019,7785.104807,96.62615477,7994.023054,104.8693412,,,,,,,,,7922.070156,100.8844454
MP6_028,9150.298044,96.27182953,7829.931143,101.6920646,9526.000309,98.02266652,9178.069755,93.16217943,9169.95159,98.28253456,9078.272906,102.446127,9021.264138,98.43841509
MP6_050,7991.828915,101.1111318,7026.838525,104.2189767,7696.008158,94.93103809,6891.780735,87.67178694,,,8911.113935,100.6292433,7877.721807,98.48658465
MP6_083,7867.452841,95.95356483,8479.81867,98.7095492,8658.43603,95.05473445,8137.552587,93.06115111,10427.00876,97.18857238,8940.272786,100.7907775,8784.272335,96.92809988
MP6_084,8356.354819,89.36538714,7897.426305,96.06482365,7864.502643,93.66236233,7934.846681,86.943327,9409.183084,86.94097685,8065.597529,94.90692817,8287.163593,91.4395896
MP6_086,9309.434655,89.95982456,8155.968505,97.60245827,,,,,8806.061167,88.52475105,,,8553.496576,91.17261395
MP6_100,8592.126236,86.48004862,8290.125679,93.65432912,8114.615048,91.22335373,8258.394528,85.60869996,9730.945416,90.71346427,7866.824936,92.79815603,8508.006938,90.23364163
MP6_138,8778.795426,99.1470634,7534.088447,95.25227076,,,,,10429.11736,103.4325974,,,8710.331607,98.42083068
MP6_139,7572.917461,95.90765606,7531.399697,93.7094706,,,,,9170.872919,88.50870539,,,7888.058479,91.85222648
MP6_163,7935.358882,97.71174471,7387.793797,91.3320959,,,,,,,,,7694.082565,94.65861775
MP6_182,8591.34021,95.09194588,7524.87948,105.8483109,,,,,9670.446952,96.02180136,,,8391.87771,98.13081441
MP6_203,9234.323803,89.72386452,8478.494075,101.3293744,9771.677279,94.32463095,7869.555056,87.75367322,11243.35124,88.69105625,9358.216062,99.5263182,9358.439462,93.7192549
MP6_204,10299.79762,96.45376037,8388.618395,103.4285006,9216.46757,97.32415998,8078.307986,97.16481862,10239.63735,105.1198094,9007.821501,102.3377327,9237.621299,100.4664207
MP6_206,9058.266611,85.99065299,7707.819889,92.53934606,,,,,9508.023783,88.29497107,,,8554.365263,88.0851649
MP6_209,8495.526406,99.74016147,7657.459928,101.8942958,,,,,9496.857587,99.59433712,,,8346.263017,99.55305077
MP6_214,9079.861347,101.4253382,7787.854534,92.11850722,8980.502504,91.02741996,8182.733999,85.73197761,10051.70223,92.03427612,8483.485154,88.80742351,8793.532536,92.04295352
MP6_219,9152.597934,97.96304357,8976.446495,96.1489625,9558.386266,100.5091979,9301.202762,96.32313568,9859.546157,99.5392771,9372.516602,103.4313352,9402.61964,99.17372919
MP6_231,9609.658495,99.43685884,7088.768371,107.0066411,9568.723911,98.15842154,8287.669661,92.10095939,10210.73382,100.8765452,8530.157298,108.3264497,8915.126369,101.1285952
MP6_235,8197.22314,92.72181398,6540.456754,88.14025445,,,,,8945.810601,90.56269474,,,7690.823976,89.61846041
MP6_289,7824.54745,91.60228509,6910.734045,89.56895927,8882.976277,95.99545806,7837.991593,77.49343347,10465.87141,88.62856064,8610.108011,92.64439882,8454.542758,89.44912227
MP6_327,9010.422174,101.2480649,8181.207127,111.3146149,,,,,9061.79602,106.5628817,,,8547.487192,105.5187553
MP6_334,8124.494806,92.81273733,7720.557152,91.45418238,7855.266903,94.13282012,7926.421851,87.94253288,9814.862771,91.49498522,8295.084071,99.28296516,8321.95109,92.93642254
MP6_347,8279.654863,92.87869151,9000.74805,96.22389187,,,,,8972.970146,94.85461183,,,8547.447678,93.79582039
MP6_353,7818.623832,85.05161484,7993.068108,89.42687343,,,,,9691.215705,94.45034574,,,8297.29099,88.78663597
MP6_368,8313.299576,102.002247,8765.59524,107.0895739,,,,,9582.379763,102.8684119,,,8683.41331,103.1303957
MP6_406,7934.395028,94.31401232,8094.82334,100.6743317,8846.746237,96.6289988,7688.200808,91.99191816,9616.541769,93.49515772,8579.247513,93.74433137,8492.495007,95.30469078
MP6_415,9738.318839,89.71883024,9039.050921,95.37113493,7494.665645,87.31185609,7547.532486,85.48454196,10020.82357,87.9362275,8897.761877,92.80995319,8822.196426,89.90450847
MP6_428,8294.698897,102.7322635,8103.997768,109.4828928,9146.270074,99.75208405,7652.171911,93.1517349,,,8315.399326,111.2335685,8476.715756,104.0566505
MP8_003,6117.108823,88.14475375,6946.42239,90.43439766,,,,,,,,,6564.271832,89.42627315
