Germplasm,Trial,Yield (lbs/ac)
MPD_081,MP2_2021_1,7664.74693
MPD_018,MP2_2021_2,7552.716216
MPD_291,MP2_2021_2,7868.201721
MPD_105,MP2_2020,8169.553332
MPD_269,MP2_2021_2,7535.237618
MPD_140,MP2_2021_1,7382.363727
MPD_119,MP2_2021_1,7135.784045
MPD_088,MP2_2020,7786.600724
MPD_033,MP2_2021_2,7443.202605
MPD_045,MP2_2021_2,6773.963655
MPD_248,MP2_2020,8618.241691
MPD_037,MP2_2021_2,7653.378644
MPD_206,MP2_2021_1,7801.938586
MPD_005,MP2_2021_2,6570.826335
MPD_174,MP2_2020,8344.672759
MPD_269,MP2_2020,8347.002116
MPD_254,MP2_2021_1,7608.387954
MPD_201,MP2_2021_1,8401.129616
MPD_148,MP2_2021_1,7883.597482
MPD_130,MP2_2020,8423.158191
MPD_281,MP2_2021_2,8298.186785
MPD_155,MP2_2021_1,7947.626359
MPD_119,MP2_2021_2,7057.15647
MPD_089,MP2_2021_1,7686.470471
MPD_073,MP2_2020,7442.985351
MPD_117,MP2_2021_2,7227.417418
MPD_042,MP2_2020,7151.096973
MPD_018,MP2_2021_1,7225.456214
MPD_030,MP2_2020,8066.329506
MPD_037,MP2_2021_1,8143.642143
MPD_110,MP2_2020,8215.115161
MPD_136,MP2_2021_1,8619.37671
MPD_103,MP2_2020,8405.935538
MPD_152,MP2_2021_1,8167.950468
MPD_020,MP2_2021_1,8848.436992
MPD_072,MP2_2020,8357.308617
MPD_207,MP2_2021_1,8463.011961
MPD_112,MP2_2021_1,7015.598048
MPD_226,MP2_2020,7981.152378
MPD_033,MP2_2021_1,7335.392068
MPD_140,MP2_2021_2,7457.097669
MPD_114,MP2_2021_2,7674.441696
MPD_009,MP2_2021_2,7826.77377
MPD_139,MP2_2021_1,8526.33885
MPD_242,MP2_2021_2,9573.689462
MPD_112,MP2_2021_2,6489.775399
MPD_160,MP2_2021_2,7759.666248
MPD_006,MP2_2020,8293.355429
